node,bioproject_id_META_PRJNA248737,bioproject_id_META_PRJNA269984,bioproject_id_META_PRJNA278886,bioproject_id_META_PRJNA288601,bioproject_id_META_PRJNA381936,bioproject_id_META_PRJNA448593,bioproject_id_META_PRJNA475142,bioproject_id_META_PRJNA475751,bioproject_id_META_PRJNA530580,bioproject_id_META_PRJNA530794,bioproject_id_META_PRJNA578285,bioproject_id_META_PRJNA587095,bioproject_id_META_PRJNA592372,bioproject_id_META_PRJNA658369,bioproject_id_META_PRJNA809394,bioproject_id_META_PRJNA824420,bioproject_id_META_PRJNA836696
SAMN15868530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SAMN26308493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SAMN26308471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
n394394,0.0048350454972969,2.1468209374482792e-09,0.020147248711119,0.0119422342955707,0.0039259348184821,0.0112679501284274,0.067198560987763,0.0254118013356922,0.0720043991573544,0.0041306486160356,0.6620066394754386,2.1468209374482792e-09,0.0041318823439559,0.0155854634259399,0.071898212426664,0.0233671535491692,0.0021468209374487
n6464,2.759003093667385e-05,1.20084132470379e-11,0.0001127131611231,6.681045136822033e-05,2.1983958419097405e-05,6.300818661234994e-05,0.0001339918236823,0.0001421429269992,0.0001390315732908,2.310511076839942e-05,0.9986127034768468,1.20084132470379e-11,2.3096565223093384e-05,8.717300982088029e-05,0.0004034959035544,0.0001311453840902,1.2008413247159903e-05
n396,0.0002016317223792,8.952963430782572e-11,0.0018085747690867,0.0004980544693432,0.0001637243973822,0.0004702237167469,0.988756335501886,0.0010597573560989,0.0003511096992412,0.0001722619029826,0.0001997241661188,8.952963430782572e-11,0.0001725547925528,0.0006500960153479,0.0044319365589132,0.0009744851185526,8.952963430786673e-05
SAMN09405752,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMN26309425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SAMN26304415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
n403403,0.0004741495240027,2.105344922784242e-10,0.0027531306270499,0.001187543584613,0.000385011790951,0.0013241383259862,0.9714765709680662,0.0024920852031882,0.0014229712414646,0.0004050845573509,0.000534755470907,2.105344922784242e-10,0.0037508512604965,0.0015356389329905,0.0097551415809259,0.0022923920186579,0.0002105344922797
