,bioproject_id_META
SAMN26308839,PRJNA809394
SAMN26308843,PRJNA809394
SAMN26308801,PRJNA809394
SAMN26308490,PRJNA809394
SAMN26305190,PRJNA809394
SAMN26308486,PRJNA809394
SAMN26308794,PRJNA809394
SAMN26308814,PRJNA809394
SAMN26308795,PRJNA809394
SAMN26308766,PRJNA809394
SAMN26308880,PRJNA809394
SAMN27404460,PRJNA824420
SAMN27404344,PRJNA824420
SAMN27404320,PRJNA824420
SAMN27404432,PRJNA824420
SAMN27404428,PRJNA824420
SAMN27404427,PRJNA824420
SAMN09400869,PRJNA475751
SAMN26304621,PRJNA809394
SAMN26304556,PRJNA809394
SAMN26308830,PRJNA809394
SAMN26308832,PRJNA809394
SAMN26308498,PRJNA809394
SAMN26308831,PRJNA809394
SAMN26308836,PRJNA809394
SAMN26308477,PRJNA809394
SAMN27404328,PRJNA824420
SAMN27404336,PRJNA824420
SAMN27404315,PRJNA824420
SAMN27404312,PRJNA824420
SAMN27404415,PRJNA824420
SAMN27404414,PRJNA824420
SAMN27404430,PRJNA824420
SAMN27404402,PRJNA824420
SAMN26308765,PRJNA809394
SAMN26308764,PRJNA809394
SAMN06015662,PRJNA278886
SAMN11319444,PRJNA530580
SAMN13082278,PRJNA578285
SAMN13082393,PRJNA578285
SAMN13082353,PRJNA578285
SAMN13082313,PRJNA578285
SAMN13082312,PRJNA578285
SAMN10093596,PRJNA448593
SAMN06702082,PRJNA381936
SAMN26308829,PRJNA809394
SAMN07775513,PRJNA278886
SAMN14792069,PRJNA288601
SAMN13082266,PRJNA578285
SAMN13082410,PRJNA578285
SAMN13082407,PRJNA578285
SAMN13082406,PRJNA578285
SAMN13082405,PRJNA578285
SAMN13082390,PRJNA578285
SAMN13082389,PRJNA578285
SAMN13082388,PRJNA578285
SAMN13082377,PRJNA578285
SAMN13082364,PRJNA578285
SAMN13082320,PRJNA578285
SAMN10093590,PRJNA448593
SAMN16340148,PRJNA475751
SAMN16340143,PRJNA475751
SAMN16340132,PRJNA475751
SAMN16340123,PRJNA475751
SAMN13622050,PRJNA475751
SAMN09400846,PRJNA475751
SAMN09400791,PRJNA475751
SAMN16340190,PRJNA475751
SAMN27404332,PRJNA824420
SAMN27404333,PRJNA824420
SAMN02801896,PRJNA248737
SAMN02801906,PRJNA248737
SAMN02801878,PRJNA248737
SAMN02801876,PRJNA248737
SAMN02801826,PRJNA248737
SAMN02801822,PRJNA248737
SAMN04606407,PRJNA269984
SAMN13423005,PRJNA592372
SAMN13422999,PRJNA592372
SAMN13082292,PRJNA578285
SAMN13082288,PRJNA578285
SAMN13082234,PRJNA578285
SAMN13082276,PRJNA578285
SAMN13082251,PRJNA578285
SAMN13082417,PRJNA578285
SAMN26308790,PRJNA809394
SAMN26304624,PRJNA809394
SAMN26308808,PRJNA809394
SAMN26308817,PRJNA809394
SAMN26308800,PRJNA809394
