,collection_date,0
SAMN05194539,2014,2015.0
SAMN05194540,2014,2015.0
SAMN05374483,2014,2014.0
SAMN05374486,2014,2014.0
SAMN05374480,2014,2014.0
SAMN05374481,2014,2014.0
SAMN05374482,2014,2014.0
SAMN04393398,2015,2015.0
SAMN04393388,2015,2015.0
SAMN06007769,2016,2017.0
SAMN06015666,2016,2016.0
SAMN27404326,2016-10-02,2016.75
SAMN04122822,2015,2016.0
SAMN04456582,2015,2015.0
SAMN11335445,2017/2018,2019.0
SAMN11335440,2017/2018,2018.52
SAMN11335448,2017/2018,2019.0
SAMN11335446,2017/2018,2018.51
SAMN11335447,2017/2018,2018.52
SAMN27404418,2017-11-25,2017.9
SAMN27404400,2019-01-13,2019.03
SAMN27404367,2018-10-05,2018.76
SAMN05774085,2016,2017.0
SAMN05774078,2016,2017.0
SAMN05806174,2016,2017.0
SAMN06672151,2016,2016.0
SAMN13082291,2010,2010.61
SAMN13082283,2009,2009.0
SAMN13082315,2011,2012.0
SAMN10093581,2014,2014.0
SAMN27404447,2017-08-21,2017.64
SAMN15868476,2017,2018.0
SAMN27404436,2019-06-09,2019.44
SAMN04393390,2015,2016.0
SAMN11335372,2017/2018,2019.0
SAMN11335373,2017/2018,2019.0
SAMN11335366,2017/2018,2019.0
SAMN11335374,2017/2018,2019.0
SAMN11335375,2017/2018,2019.0
SAMN11335362,2017/2018,2019.0
SAMN09400792,2016,2016.0
SAMN11335385,2017/2018,2019.0
SAMN11335384,2017/2018,2019.0
SAMN11335383,2017/2018,2019.0
SAMN11335378,2017/2018,2019.0
SAMN11335386,2017/2018,2019.0
SAMN09405760,1998,1998.26
SAMN13422978,1995,1995.0
SAMN16340141,2019,2020.0
SAMN28174062,2018-03-15,2018.2
SAMN03892127,2015,2015.0
SAMN03892121,2014,2014.0
SAMN04122807,2015,2015.0
SAMN13082300,2011,2012.0
SAMN13082299,2011,2011.87
SAMN13082298,2010,2010.56
SAMN13082297,2010,2011.0
SAMN27404456,2017-02-21,2017.14
SAMN27404439,2019-02-07,2019.1
SAMN27404408,2018-12-01,2018.92
SAMN27404409,2019-12-23,2019.98
SAMN27404398,2018-03-03,2018.17
SAMN27404394,2019-05-16,2019.37
SAMN28174009,2017-02-18,2017.13
SAMN26308783,2019-10-31,2019.83
SAMN26308782,2019-09-30,2019.75
SAMN28174052,2018-10-19,2018.8
SAMN28174053,2019-01-10,2019.02
SAMN31257659,2022,2023.0
SAMN26308863,2020-06-11,2020.44
SAMN26308840,2020-02-28,2020.16
SAMN26308875,2020-07-16,2020.54
SAMN26308867,2020-06-18,2020.46
SAMN26308835,2020-02-14,2020.12
SAMN26308881,2020-07-29,2020.57
SAMN26308887,2020-08-27,2020.65
SAMN26305031,2020-04-24,2020.31
SAMN26308873,2020-07-10,2020.52
SAMN26308872,2020-07-10,2020.52
SAMN06311519,2016,2016.0
SAMN26304462,2020-01-22,2020.06
SAMN26308763,2020-09-21,2020.72
SAMN26308762,2020-09-21,2020.72
SAMN27404364,2019-08-15,2019.62
SAMN27404404,2018-06-19,2018.46
SAMN27404386,2016-06-13,2016.45
SAMN09400878,2017,2017.0
SAMN26308882,2020-07-30,2020.58
SAMN26304753,2019-11-15,2019.87
SAMN26308761,2020-03-12,2020.19
SAMN26304873,2020-02-25,2020.15
SAMN26308493,2020-08-21,2020.64
SAMN26308471,2019-11-06,2019.85
SAMN26304502,2020-03-23,2020.22
SAMN26304496,2019-11-18,2019.88
SAMN28174099,2019-11-13,2019.87
SAMN13082287,2010,2011.0
